,index,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,Total_Charge,day_rate,eve_rate,night_rate,intl_rate,CLUSTER
0,0,KS,128,area_code_415,no,yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,no,75.56,0.1700113164843455,0.08500506585612969,0.044993870044953005,0.27,2
1,1,OH,107,area_code_415,no,yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,no,59.24000000000001,0.16998762376237625,0.08501278772378518,0.04500786163522012,0.27007299270072993,2
2,2,NJ,137,area_code_415,no,no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,no,62.290000000000006,0.17000821692686935,0.08498349834983498,0.045018450184501846,0.269672131147541,1
3,3,OH,84,area_code_408,yes,no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,no,66.8,0.17000668002672012,0.08497576736672051,0.04499746063991874,0.2696969696969697,3
4,4,OK,75,area_code_415,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,no,52.089999999999996,0.17000599880023995,0.08503034389750505,0.04499732477260567,0.2702970297029703,4
5,5,AL,118,area_code_510,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,no,67.61,0.17000895255147716,0.08499546690843156,0.04502206964198136,0.2698412698412698,3
6,6,MA,121,area_code_510,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,no,78.31,0.16998166819431718,0.08499282639885222,0.04501411100658514,0.27066666666666667,2
7,7,MO,147,area_code_415,yes,no,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,no,46.900000000000006,0.17,0.08496605237633366,0.04499527856468366,0.27042253521126763,3
8,8,LA,117,area_code_408,no,no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,no,73.32,0.1700271002710027,0.08501137656427758,0.04499536607970343,0.2701149425287357,2
9,9,WV,141,area_code_415,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,no,80.53999999999999,0.16999226604795048,0.085,0.04500612745098039,0.2696428571428572,2
10,10,IN,65,area_code_415,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,yes,54.2,0.1700232378001549,0.08498905908096281,0.045019157088122604,0.27007874015748035,4
11,11,RI,74,area_code_415,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,no,57.08,0.17000532765050613,0.08500611995104039,0.045,0.2703296703296703,3
12,12,IA,168,area_code_408,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,no,40.190000000000005,0.1700310559006211,0.08503336510962821,0.04500354358610914,0.2696428571428572,0
13,13,MT,95,area_code_510,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,no,59.64,0.1699872286079183,0.08501615508885299,0.04498179927197088,0.26991869918699185,4
14,14,IA,62,area_code_415,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,no,59.309999999999995,0.1700082850041425,0.08499348958333333,0.045024630541871925,0.2702290076335878,4
15,15,NY,161,area_code_415,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,yes,92.29,0.16999098828477022,0.08499056010069227,0.0450186799501868,0.27037037037037037,4
16,16,ID,85,area_code_408,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,no,65.02,0.170010183299389,0.0850124599501602,0.04501679731243001,0.2702898550724638,1
17,17,VT,93,area_code_510,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,no,58.989999999999995,0.1700052438384898,0.08501374885426215,0.04498456790123457,0.27037037037037037,4
18,18,VA,76,area_code_510,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,no,60.50000000000001,0.17000527148128625,0.08500939849624059,0.04502112251056126,0.27,1
19,19,TX,73,area_code_415,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,no,63.9,0.17000891265597146,0.08501567398119123,0.0450207468879668,0.26999999999999996,1
20,20,FL,147,area_code_415,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,no,59.0,0.1700193423597679,0.08498122653316646,0.045019157088122604,0.269811320754717,2
21,21,CO,77,area_code_408,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,yes,36.019999999999996,0.1700320512820513,0.08499117127722189,0.044990458015267173,0.27017543859649124,4
22,22,AZ,130,area_code_415,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,no,48.06,0.16999999999999998,0.0850480109739369,0.04499449944994499,0.27052631578947367,1
23,23,SC,111,area_code_415,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,no,41.05,0.17001811594202898,0.08499635833940276,0.044989451476793244,0.2701298701298701,0
24,24,VA,132,area_code_510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,no,48.08,0.17003699136868064,0.08499184339314846,0.0450210970464135,0.2699029126213592,0
25,25,NE,174,area_code_415,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,no,60.15,0.16999195494770716,0.08498736918080114,0.044994016753091344,0.2703225806451613,4
26,26,WY,57,area_code_408,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,no,63.24,0.17,0.08498168498168497,0.04499178981937603,0.27052631578947367,1
27,27,MT,54,area_code_408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,no,44.61,0.16999255398361873,0.08501607717041801,0.04495592556317336,0.27006802721088435,0
28,28,MO,20,area_code_415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,no,64.12,0.16999999999999998,0.08501161890007745,0.04501377410468319,0.2698412698412698,3
29,29,HI,49,area_code_510,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,no,49.6,0.16999161777032692,0.08498372849837285,0.044991606043648574,0.2702702702702703,0
30,30,IL,142,area_code_415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,no,41.14,0.17004716981132076,0.08500365764447695,0.04499001996007984,0.26971830985915496,0
31,31,NH,75,area_code_510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,no,69.42999999999999,0.17001326846528084,0.08501240694789082,0.04500406173842405,0.2699029126213592,2
32,32,LA,172,area_code_408,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,no,55.29,0.16999999999999998,0.08493589743589744,0.04500511421752471,0.2698412698412698,4
33,33,AZ,12,area_code_408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,yes,79.67999999999999,0.1699919871794872,0.08498415213946117,0.045003568879371875,0.2703389830508474,2
34,34,OK,57,area_code_408,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,no,58.49,0.17002262443438912,0.08502564102564102,0.045011709601873534,0.26987951807228916,3
35,35,GA,72,area_code_415,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,no,66.72,0.16999999999999998,0.0849976990335941,0.0450261780104712,0.27006802721088435,4
36,36,AK,36,area_code_408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,no,48.42,0.16999316473000683,0.0849846153846154,0.04501160092807424,0.27034482758620687,1
37,37,MA,78,area_code_415,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,no,54.2,0.17003058103975532,0.08497988377291016,0.04499561018437225,0.27,0
38,38,AK,136,area_code_415,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,no,58.03,0.16998528690534573,0.08502132196162047,0.04503441494591937,0.2704761904761905,4
